Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0BxE4FqsDD1Ot4YuBXwAPp,"505","Favourite Worst Nightmare","Arctic Monkeys",2007-04-22,253586,89,false,adriankito200,2023-01-11T02:33:04Z,"indie,garage rock","Domino Recording Co",0.526,0.866,0,-5.822,1,0.0568,0.00287,0.0000778,0.0945,0.248,140.266,4
spotify:track:0I1eFRytp4XRhLCjT6tZm7,"I Can't Handle Change","I Can't Handle Change","Roar",2010-03-14,198213,6,false,adriankito200,2023-01-29T05:33:44Z,"","Felt Forest Records",0.247,0.438,5,-8.478,1,0.0358,0.0447,0.000867,0.111,0.39,185.711,3
spotify:track:4qL4dgMQe6ywivehdTEjmW,"Heart For Brains","I Can't Handle Change","Roar",2010-03-14,169760,0,true,adriankito200,2023-01-29T15:12:59Z,"","Felt Forest Records",0.342,0.219,2,-13.086,1,0.0319,0.814,0.000126,0.0708,0.115,178.593,3
spotify:track:5MqV2o7iLd0lNREZ7SYL05,"Are We the Waiting / St. Jimmy","American Idiot","Green Day",2004-09-21,338146,56,true,adriankito200,2023-01-29T15:13:33Z,"punk,pop punk","Reprise",0.276,0.909,9,-3.664,1,0.0618,0.00016,0.00000476,0.0933,0.344,138.497,4
spotify:track:0czRI0qwOQDe1tIIrsvkaK,"Distant Dreamer","Rockferry","Duffy",2008,305666,48,false,adriankito200,2023-02-01T23:51:49Z,"","Polydor Records",0.399,0.604,2,-4.325,1,0.0288,0.00426,0.00126,0.386,0.146,94.962,4
spotify:track:0I3q5fE6wg7LIfHGngUTnV,"Ms. Jackson","Stankonia","Outkast",2000-10-31,270506,85,true,adriankito200,2023-02-07T00:04:50Z,"southern hip hop,hip hop","Arista/LaFace Records",0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,4
spotify:track:3dPQuX8Gs42Y7b454ybpMR,"Seven Nation Army","Elephant","The White Stripes",2003-04-01,232106,86,false,adriankito200,2023-02-07T07:10:19Z,"garage rock,blues rock,rock,alternative rock","Legacy Recordings",0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,4
spotify:track:0WSa1sucoNRcEeULlZVQXj,"Can You Feel My Heart","Sempiternal (Expanded Edition)","Bring Me The Horizon",2013-04-01,228146,79,true,adriankito200,2023-02-09T05:20:55Z,"metalcore,emo,screamo,rock,post-hardcore,metal","RCA Records Label",0.15,0.859,4,-2.827,0,0.0595,0.00201,0.194,0.387,0.354,170.527,5
spotify:track:2nLtzopw4rPReszdYBJU6h,"Numb","Meteora","Linkin Park",2003-03-25,187520,90,false,adriankito200,2023-02-14T03:46:35Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.488,0.87,6,-4.185,0,0.0421,0.00353,0,0.484,0.211,110.072,4
spotify:track:4Yf5bqU3NK4kNOypcrLYwU,"Faint","Meteora","Linkin Park",2003-03-25,162106,86,false,adriankito200,2023-02-14T03:46:45Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.554,0.98,4,-3.514,1,0.108,0.127,0,0.0833,0.611,135.12,4
spotify:track:400lQTCx3wYGgqAIHSZbNA,"Given Up","Minutes to Midnight","Linkin Park",2007-05-14,189293,59,true,adriankito200,2023-02-14T03:59:33Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.655,0.886,7,-4.116,1,0.0435,0.00113,0.000409,0.0448,0.938,100.088,4
spotify:track:0WajUW5XINeraP2w0F3F8E,"Don","El Templo del Pop","Miranda!",2008-04-01,183973,75,true,adriankito200,2023-03-01T03:24:48Z,"latin pop","Pelo Music S.A.",0.824,0.738,6,-5.431,1,0.0867,0.0215,0,0.0495,0.961,119.973,4
spotify:track:09QfIIP4NUx4A3thmovb2o,"Perfecta","El Templo del Pop","Miranda!",2008-04-01,225413,76,true,adriankito200,2023-03-01T03:24:54Z,"latin pop","Pelo Music S.A.",0.648,0.727,0,-5.45,1,0.0361,0.178,0,0.335,0.839,169.941,4
spotify:track:6kdCN6gTWLcLxmLXoUcwuI,"Eres","Cuatro Caminos","Café Tacvba",2003-07-01,267600,79,false,adriankito200,2023-03-01T03:27:32Z,"rock en español,mexican rock,latin rock,latin alternative,ska","Geffen*",0.583,0.731,9,-6.18,0,0.0271,0.0107,0.0136,0.238,0.446,149.987,4
spotify:track:1vxw6aYJls2oq3gW0DujAo,"Crazy","St. Elsewhere","Gnarls Barkley",2006-06-26,177933,78,false,adriankito200,2023-03-01T16:49:48Z,"","WM UK",0.866,0.537,8,-5.786,1,0.0335,0.053,0.0156,0.0866,0.643,111.987,4
spotify:track:0UQNHlrHiz19Htk7YTLVe5,"Rock the House","Gorillaz","Gorillaz,Del The Funky Homosapien",2001-03-26,249200,60,true,adriankito200,2023-03-05T15:02:32Z,"","Parlophone UK",0.754,0.825,2,-6.498,1,0.237,0.0748,0.0000718,0.169,0.612,171.953,4
spotify:track:0SzvmWfOhoxZVGrmvb56YL,"Baby I'm Yours","Leave Before The Lights Come On","Arctic Monkeys",2006-08-14,152613,72,false,adriankito200,2023-03-28T18:25:49Z,"indie,garage rock","Domino Recording Co",0.462,0.595,2,-9.363,1,0.0347,0.215,0,0.184,0.64,113.719,4
