Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1AM8QdDFZMq6SrrqUnuQ9P,"Feeling Good","It's Time","Michael Bublé",2005-02-08,237333,77,false,204029,2020-08-14T21:33:24Z,"christmas","143/Reprise",0.535,0.548,1,-6.51,1,0.037,0.533,0.00000148,0.123,0.477,115.144,3
spotify:track:57bgtoPSgt236HzfBOd8kj,"Thunderstruck","The Razors Edge","AC/DC",1990-09-24,292880,88,false,204029,2020-08-14T21:34:23Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,4
spotify:track:5uCax9HTNlzGybIStD3vDh,"Say You Won't Let Go","Back from the Edge","James Arthur",2016-10-28,211466,88,false,204029,2020-08-16T02:44:37Z,"soft pop","Columbia",0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,4
spotify:track:0azC730Exh71aQlOt9Zj3y,"This Is What You Came For","This Is What You Came For","Calvin Harris,Rihanna",2016-04-29,222160,81,false,204029,2020-08-16T02:44:45Z,"edm","Columbia",0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,4
spotify:track:27SdWb2rFzO6GWiYDBTD9j,"Cheap Thrills","This Is Acting","Sia",2016-01-29,211666,82,false,204029,2020-08-16T02:44:52Z,"","Monkey Puzzle Records/RCA Records",0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,4
spotify:track:0vbtURX4qv1l7besfwmnD8,"I Took A Pill In Ibiza - Seeb Remix","At Night Alone.","Mike Posner,Seeb",2016-05-06,197933,84,true,204029,2020-08-16T02:45:42Z,"","Monster Mountain, LLC / Island",0.664,0.714,7,-6.645,0,0.111,0.0353,0.00000842,0.0843,0.71,101.969,4
spotify:track:76hfruVvmfQbw0eYn1nmeC,"Cake By The Ocean","DNCE","DNCE",2016-11-18,219146,84,true,204029,2020-08-16T02:46:03Z,"","Joseph Jonas/Republic Records",0.774,0.753,4,-5.446,0,0.0517,0.152,0,0.0371,0.896,119.002,4
spotify:track:1pKeFVVUOPjFsOABub0OaV,"Side To Side","Dangerous Woman","Ariana Grande,Nicki Minaj",2016-05-20,226160,9,true,204029,2020-08-16T02:46:16Z,"pop","Universal Records",0.65,0.736,6,-5.84,0,0.229,0.0528,0,0.235,0.613,159.173,4
spotify:track:40YcuQysJ0KlGQTeGUosTC,"Me Myself & I","When It's Dark Out","G-Eazy,Bebe Rexha",2015-12-04,251466,81,true,204029,2020-08-16T02:50:56Z,"","BPG/RVG/RCA Records",0.756,0.674,0,-6.518,0,0.0959,0.0184,0,0.158,0.389,111.995,4
spotify:track:5W04joH7VXgHjdNugoWmOB,"Little Wonders - Radio Version","Little Wonders","Rob Thomas",2007-04-07,225506,51,false,204029,2020-08-19T22:12:00Z,"","Melisma/Atlantic Records",0.268,0.765,9,-4.891,1,0.0419,0.0298,0,0.0852,0.262,167.22,4
spotify:track:2vBF8A6n0REigm7RSUM65S,"The A Team","The A Team","Ed Sheeran",2011-05-01,258588,14,false,204029,2020-08-20T09:50:30Z,"soft pop","Atlantic Records UK",0.626,0.286,9,-9.933,1,0.0374,0.678,0,0.134,0.366,84.954,4
spotify:track:0BAVZv9yFpfHWWZY7XeWxx,"Believe","Descendants (Original TV Movie Soundtrack)","Shawn Mendes",2015-01-01,208853,47,false,204029,2020-08-20T10:19:54Z,"","Walt Disney Records",0.813,0.668,0,-5.585,1,0.0657,0.183,0,0.0683,0.785,117.006,4
spotify:track:2yAVzRiEQooPEJ9SYx11L3,"Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio","Europop","Eiffel 65,Gabry Ponte",1999,283747,12,false,204029,2020-08-20T10:35:21Z,"eurodance,europop,italo dance,slap house","Hits Only",0.822,0.969,7,-11.471,0,0.0582,0.259,0.000153,0.39,0.765,128.007,4
spotify:track:2Zukohv1kW91bY2OUIXSct,"Something Big","Handwritten (Deluxe)","Shawn Mendes",2015-04-13,161440,1,false,204029,2020-08-20T10:42:18Z,"","Island Records",0.695,0.854,7,-3.891,0,0.0431,0.00614,0,0.158,0.804,112.008,4
spotify:track:0pdKRp2sUthTPe7RLWpPqQ,"You're Somebody Else","You're Somebody Else","flora cash",2018-06-19,218883,70,false,204029,2020-08-22T03:59:27Z,"","Bee & El/RCA Records",0.713,0.452,1,-9.638,1,0.0295,0.841,0.0038,0.105,0.235,102.963,4
spotify:track:1oQZk2bKBLgP1cbuFKvjkq,"If I Were a Boy","I AM...SASHA FIERCE - Platinum Edition","Beyoncé",2008,249866,74,false,204029,2020-08-22T08:11:28Z,"","Music World Music/Columbia",0.63,0.504,6,-6.152,1,0.0334,0.0953,0,0.308,0.487,89.946,4
spotify:track:6tS3XVuOyu10897O3ae7bi,"California Gurls","Teenage Dream: The Complete Confection","Katy Perry,Snoop Dogg",2012-03-12,234653,77,false,204029,2020-08-22T08:16:48Z,"pop,g-funk,west coast hip hop,gangster rap,hip hop,rap","Capitol Records",0.791,0.755,0,-3.729,1,0.0568,0.00452,0,0.163,0.426,125.014,4
spotify:track:7mitXLIMCflkhZiD34uEQI,"Party Rock Anthem","Sorry For Party Rocking","LMFAO,Lauren Bennett,GoonRock",2011-01-01,262146,77,false,204029,2020-08-22T08:18:25Z,"","Will I Am / A&M",0.75,0.736,5,-4.168,0,0.155,0.0202,0,0.265,0.355,130.011,4
spotify:track:6QPKYGnAW9QozVz2dSWqRg,"Someone Like You","21","Adele",2011-01-19,285240,4,false,204029,2020-08-22T08:18:51Z,"soft pop","XL Recordings",0.554,0.321,9,-8.251,1,0.028,0.893,0,0.0996,0.288,135.047,4
spotify:track:48RrDBpOSSl1aLVCalGl5C,"The Monster","The Marshall Mathers LP2","Eminem,Rihanna",2013-11-05,250188,82,true,204029,2020-08-22T08:20:14Z,"rap,hip hop","Aftermath",0.781,0.853,1,-3.68,0,0.0714,0.0526,0,0.12,0.626,110.046,4
spotify:track:3cHyrEgdyYRjgJKSOiOtcS,"Timber","Global Warming: Meltdown (Deluxe Version)","Pitbull,Kesha",2012,204160,87,false,204029,2020-08-25T10:26:48Z,"","Mr.305/Polo Grounds Music/RCA Records",0.581,0.963,11,-4.087,1,0.0981,0.0295,0,0.139,0.788,129.992,4
spotify:track:3Fzlg5r1IjhLk2qRw667od,"Dancing in the Moonlight","Onka's Big Moka","Toploader",2000,232693,82,false,204029,2020-08-28T05:23:10Z,"","Sony Soho Square",0.632,0.856,10,-3.463,1,0.0348,0.0624,0,0.347,0.867,119.397,4
spotify:track:4RCWB3V8V0dignt99LZ8vH,"Hey There Delilah","All That We Needed","Plain White T's",2005-01-25,232533,81,false,204029,2020-08-29T01:18:20Z,"","Fearless Records",0.658,0.291,2,-10.572,1,0.0292,0.872,0,0.114,0.295,103.962,4
spotify:track:61YzdCCBPM5Pc7lIiD5i8C,"Bang Bang","Troubadour","K'NAAN,Adam Levine",2009,186533,76,true,204029,2020-09-11T08:37:55Z,"","Interscope Records*",0.623,0.901,10,-4.402,0,0.182,0.0785,0,0.0251,0.896,179.985,4
spotify:track:5GYbkDveRD2I8M5ZJ14hWn,"Never Say Never","Never Say Never - The Remixes","Justin Bieber,Jaden",2011-01-01,227853,78,false,204029,2020-09-11T09:02:46Z,"","RBMG/Def Jam",0.739,0.807,0,-5.063,1,0.0652,0.0181,0,0.295,0.632,97.048,4
spotify:track:1fah1uAs7HeTYDlNftKr3K,"Put Your Records On","Put Your Records On","Ritt Momney",2020-04-24,210463,5,false,204029,2020-09-12T10:07:38Z,"bedroom pop","QuarterZip",0.399,0.492,6,-10.777,0,0.0538,0.058,0.00101,0.11,0.159,91.066,4
